2026-08-15T14:23:15.121051262Z [inf]  [API-Sports] Consultando estadísticas en vivo para Leyton Orient vs Sheffield Wednesday (fixture: 1564244)
2026-08-15T14:23:15.121054058Z [inf]  [API-Sports] Consultando estadísticas en vivo para KFUM Oslo vs Lillestrom (fixture: 1494736)
2026-08-15T14:23:15.121058234Z [inf]  [API-Sports] Consultando estadísticas en vivo para Kolkheti Poti vs Telavi (fixture: 1507196)
2026-08-15T14:23:15.121061677Z [inf]  [API-Sports] Consultando estadísticas en vivo para Mārupe vs Super Nova 2 (fixture: 1529615)
2026-08-15T14:23:15.121065332Z [inf]  [API-Sports] Consultando estadísticas en vivo para IFK Skövde vs Herrestads (fixture: 1510635)
2026-08-15T14:23:15.121069003Z [inf]  [API-Sports] Consultando estadísticas en vivo para Laholm vs Jonkopings Sodra (fixture: 1504502)
2026-08-15T14:23:15.121072595Z [inf]  [API-Sports] Consultando estadísticas en vivo para Pakhtakor II vs Lochin (fixture: 1531081)
2026-08-15T14:23:15.121075390Z [inf]  [API-Sports] Consultando estadísticas en vivo para Hamilton Academical vs Airdrie United (fixture: 1557018)
2026-08-15T14:23:15.121078416Z [inf]  [API-Sports] Consultando estadísticas en vivo para Selfoss vs Fjolnir (fixture: 1543455)
2026-08-15T14:23:45.095449139Z [inf]  [2:23:35 PM] Revisando partidos de fútbol en vivo...
2026-08-15T14:23:45.095454271Z [inf]  [SafeOdds] Descargados momios en vivo para 157 partidos.
2026-08-15T14:24:15.082026042Z [inf]  [2:24:05 PM] Revisando partidos de fútbol en vivo...
2026-08-15T14:24:15.082032575Z [inf]  [SafeOdds] Descargados momios en vivo para 156 partidos.
2026-08-15T14:24:45.065894895Z [inf]  [2:24:35 PM] Revisando partidos de fútbol en vivo...
2026-08-15T14:24:45.065898450Z [inf]  [SafeOdds] Descargados momios en vivo para 156 partidos.
2026-08-15T14:25:15.112494861Z [inf]  [2:25:05 PM] Revisando partidos de fútbol en vivo...
2026-08-15T14:25:15.112500824Z [inf]  [SafeOdds] Descargados momios en vivo para 2 partidos.
2026-08-15T14:25:44.789050681Z [inf]  [2:25:35 PM] Revisando partidos de fútbol en vivo...
2026-08-15T14:25:44.789056911Z [inf]  [SafeOdds] Descargados momios en vivo para 2 partidos.
2026-08-15T14:26:14.787292905Z [inf]  [2:26:05 PM] Revisando partidos de fútbol en vivo...
2026-08-15T14:26:14.787295860Z [inf]  [SafeOdds] Descargados momios en vivo para 20 partidos.
2026-08-15T14:26:44.788364648Z [inf]  [2:26:35 PM] Revisando partidos de fútbol en vivo...
2026-08-15T14:26:44.788368307Z [inf]  [SafeOdds] Descargados momios en vivo para 74 partidos.
2026-08-15T14:27:14.825211073Z [inf]  [SafeOdds] Descargados momios en vivo para 67 partidos.
2026-08-15T14:27:14.825227834Z [inf]  [2:27:05 PM] Revisando partidos de fútbol en vivo...
2026-08-15T14:27:44.479981794Z [inf]  [API-Sports] Consultando eventos en vivo para IFK Skövde vs Herrestads (fixture: 1510635)
2026-08-15T14:27:44.479982464Z [inf]  [API-Sports] Consultando eventos en vivo para Leyton Orient vs Sheffield Wednesday (fixture: 1564244)
2026-08-15T14:27:44.479987574Z [inf]  [2:27:35 PM] Revisando partidos de fútbol en vivo...
2026-08-15T14:27:44.479988621Z [inf]  [API-Sports] Consultando eventos en vivo para Maardu vs FC Tallinn (fixture: 1519612)
2026-08-15T14:27:44.479992614Z [inf]  [SafeOdds] Descargados momios en vivo para 69 partidos.
2026-08-15T14:27:44.479995546Z [inf]  [API-Sports] Consultando eventos en vivo para Mārupe vs Super Nova 2 (fixture: 1529615)
2026-08-15T14:27:44.479996358Z [inf]  [API-Sports] Consultando eventos en vivo para Pakhtakor II vs Lochin (fixture: 1531081)
2026-08-15T14:27:44.480000420Z [inf]  [API-Sports] Consultando eventos en vivo para Sevastopol vs Astrakhan (fixture: 1536019)
2026-08-15T14:27:44.480006683Z [inf]  [API-Sports] Consultando eventos en vivo para Rubin Yalta vs Izberbash (fixture: 1536254)
2026-08-15T14:27:44.480007064Z [inf]  [API-Sports] Consultando eventos en vivo para Häcken II W vs Linköping W (fixture: 1501446)
2026-08-15T14:27:44.480008526Z [inf]  [API-Sports] Consultando eventos en vivo para Jaro 2 vs Huima / Urho (fixture: 1541755)
2026-08-15T14:27:44.480010002Z [inf]  [API-Sports] Consultando eventos en vivo para KFUM Oslo vs Lillestrom (fixture: 1494736)
2026-08-15T14:27:44.480015038Z [inf]  [API-Sports] Consultando eventos en vivo para Selfoss vs Fjolnir (fixture: 1543455)
2026-08-15T14:27:44.480015266Z [inf]  [API-Sports] Consultando eventos en vivo para Laholm vs Jonkopings Sodra (fixture: 1504502)
2026-08-15T14:27:44.480021680Z [inf]  [API-Sports] Consultando eventos en vivo para Kolkheti Poti vs Telavi (fixture: 1507196)
2026-08-15T14:27:44.480021789Z [inf]  [API-Sports] Consultando eventos en vivo para Hamilton Academical vs Airdrie United (fixture: 1557018)
2026-08-15T14:27:44.481977412Z [inf]  [API-Sports] Consultando estadísticas en vivo para KFUM Oslo vs Lillestrom (fixture: 1494736)
2026-08-15T14:27:44.481981917Z [inf]  [API-Sports] Consultando estadísticas en vivo para Mārupe vs Super Nova 2 (fixture: 1529615)
2026-08-15T14:27:44.481985821Z [inf]  [API-Sports] Consultando estadísticas en vivo para Selfoss vs Fjolnir (fixture: 1543455)
2026-08-15T14:27:44.481989082Z [inf]  [API-Sports] Consultando estadísticas en vivo para Jaro 2 vs Huima / Urho (fixture: 1541755)
2026-08-15T14:27:44.481992816Z [inf]  [API-Sports] Consultando estadísticas en vivo para Leyton Orient vs Sheffield Wednesday (fixture: 1564244)
2026-08-15T14:27:44.481996919Z [inf]  [API-Sports] Consultando estadísticas en vivo para Pakhtakor II vs Lochin (fixture: 1531081)
2026-08-15T14:27:44.482000559Z [inf]  [API-Sports] Consultando estadísticas en vivo para Häcken II W vs Linköping W (fixture: 1501446)
2026-08-15T14:27:44.482005379Z [inf]  [API-Sports] Consultando estadísticas en vivo para IFK Skövde vs Herrestads (fixture: 1510635)
2026-08-15T14:27:44.482009954Z [inf]  [API-Sports] Consultando estadísticas en vivo para Hamilton Academical vs Airdrie United (fixture: 1557018)
2026-08-15T14:27:44.482013719Z [inf]  [API-Sports] Consultando estadísticas en vivo para Sevastopol vs Astrakhan (fixture: 1536019)
2026-08-15T14:27:44.482017306Z [inf]  [API-Sports] Consultando estadísticas en vivo para Laholm vs Jonkopings Sodra (fixture: 1504502)
2026-08-15T14:27:44.482020920Z [inf]  [API-Sports] Consultando estadísticas en vivo para Kolkheti Poti vs Telavi (fixture: 1507196)
2026-08-15T14:27:44.482024239Z [inf]  [API-Sports] Consultando estadísticas en vivo para Rubin Yalta vs Izberbash (fixture: 1536254)
2026-08-15T14:27:44.482027683Z [inf]  [API-Sports] Consultando estadísticas en vivo para Maardu vs FC Tallinn (fixture: 1519612)
2026-08-15T14:27:44.482031389Z [inf]  [index.js] Alerta de fútbol detectada para Maardu vs FC Tallinn. Consultando datos adicionales en paralelo para la IA...
2026-08-15T14:27:44.483970531Z [inf]  [index.js] Solicitando predicción de IA para partido: Maardu vs FC Tallinn
2026-08-15T14:27:44.483975242Z [inf]  [AI-Service] Intentando generar contenido con modelo 'gemini-flash-latest' usando clave de índice 0
2026-08-15T14:27:44.483978766Z [err]  [AI-Service] Intento fallido con modelo 'gemini-flash-latest' e índice de clave 0: Request failed with status code 503
2026-08-15T14:27:44.483984968Z [inf]  [AI-Service] Rotando clave API de Gemini al índice: 1
2026-08-15T14:27:44.483988180Z [inf]  [AI-Service] Intentando generar contenido con modelo 'gemini-flash-latest' usando clave de índice 1
2026-08-15T14:27:44.483992298Z [err]  [AI-Service] Intento fallido con modelo 'gemini-flash-latest' e índice de clave 1: Request failed with status code 503
2026-08-15T14:27:44.483995476Z [inf]  [AI-Service] Rotando clave API de Gemini al índice: 0
2026-08-15T14:27:44.483998868Z [inf]  [AI-Service] Intentando generar contenido con modelo 'gemini-2.5-flash' usando clave de índice 0
2026-08-15T14:27:44.484002078Z [inf]  [AI-Service] Rotando clave API de Gemini al índice: 1
2026-08-15T14:27:44.484005671Z [inf]  [AI-Service] Intentando generar contenido con modelo 'gemini-2.5-flash' usando clave de índice 1
2026-08-15T14:27:44.484009988Z [err]  [AI-Service] Intento fallido con modelo 'gemini-2.5-flash' e índice de clave 0: Request failed with status code 404
2026-08-15T14:27:44.484013856Z [err]  [AI-Service] Intento fallido con modelo 'gemini-2.5-flash' e índice de clave 1: Request failed with status code 404
2026-08-15T14:27:44.484017070Z [inf]  [AI-Service] Rotando clave API de Gemini al índice: 0
2026-08-15T14:27:44.484020883Z [err]  [AI-Service] Error crítico generando recomendación con IA: Todas las claves API de Gemini y modelos de fallback fallaron.. Utilizando fallback estático.
2026-08-15T14:28:14.477307682Z [inf]  [2:28:05 PM] Revisando partidos de fútbol en vivo...
2026-08-15T14:28:14.477314691Z [inf]  [SafeOdds] Descargados momios en vivo para 73 partidos.
